[2025-12-28 19:10:04,625] INFO | fixtures_ingest | Fixture ingestion completed successfully.
[2025-12-28 19:26:26,688] INFO | fact_table | Starting fact-table build
[2025-12-28 19:26:26,689] ERROR | fact_table | Fact table build failed
Traceback (most recent call last):
  File "c:\Users\karti\Desktop\final project\FPL-Prediction\Scripts\build_fact_table.py", line 168, in <module>
    build_fact_table()
    ~~~~~~~~~~~~~~~~^^
  File "c:\Users\karti\Desktop\final project\FPL-Prediction\Scripts\build_fact_table.py", line 153, in build_fact_table
    fixtures_df = load_fixtures()
  File "c:\Users\karti\Desktop\final project\FPL-Prediction\Scripts\build_fact_table.py", line 22, in load_fixtures
    raise FileNotFoundError(
        "fixtures.csv not found. Run ingest_fixtures.py first."
    )
FileNotFoundError: fixtures.csv not found. Run ingest_fixtures.py first.
[2025-12-28 19:26:55,487] INFO | cold_start | Cold start begun.
[2025-12-28 19:26:56,452] INFO | gameweeks | Discovered gameweeks: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]
[2025-12-28 19:26:56,455] INFO | cold_start | Fetching range 1 -> 17
[2025-12-28 19:26:56,455] INFO | events | Fetching event 1
[2025-12-28 19:26:57,066] INFO | events | Fetching event 2
[2025-12-28 19:26:57,696] INFO | events | Fetching event 3
[2025-12-28 19:26:58,354] INFO | events | Fetching event 4
[2025-12-28 19:26:58,966] INFO | events | Fetching event 5
[2025-12-28 19:26:59,539] INFO | events | Fetching event 6
[2025-12-28 19:27:00,127] INFO | events | Fetching event 7
[2025-12-28 19:27:00,703] INFO | events | Fetching event 8
[2025-12-28 19:27:01,286] INFO | events | Fetching event 9
[2025-12-28 19:27:01,829] INFO | events | Fetching event 10
[2025-12-28 19:27:02,367] INFO | events | Fetching event 11
[2025-12-28 19:27:02,920] INFO | events | Fetching event 12
[2025-12-28 19:27:03,475] INFO | events | Fetching event 13
[2025-12-28 19:27:04,031] INFO | events | Fetching event 14
[2025-12-28 19:27:04,601] INFO | events | Fetching event 15
[2025-12-28 19:27:05,156] INFO | events | Fetching event 16
[2025-12-28 19:27:05,735] INFO | events | Fetching event 17
[2025-12-28 19:27:06,295] INFO | events | Fetched 17 events total.
[2025-12-28 19:27:06,446] INFO | cold_start | Written 17 events into Data/events_raw.ndjson
[2025-12-28 19:27:06,450] INFO | cold_start | Cold start complete. Last event set to 17
[2025-12-28 19:27:30,365] INFO | incremental | Incremental run started.
[2025-12-28 19:27:31,338] INFO | gameweeks | Discovered gameweeks: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]
[2025-12-28 19:27:31,340] INFO | incremental | Nothing new. All caught up 😴
[2025-12-28 19:27:52,517] INFO | player_snapshot | Player snapshot job started
[2025-12-28 19:27:52,518] INFO | players | Calling bootstrap-static for player snapshot
[2025-12-28 19:27:53,311] INFO | players | Snapshot received players=772 teams=20 positions=4
[2025-12-28 19:27:53,471] INFO | player_snapshot | Player snapshot written successfully
